               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066571,             0.12807,                   0,                   0,                   0,                   0,                   0,                   0,             0.07786,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.055633,             0.12097,                   0,                   0,                   0,                   0,                   0,                   0,            0.085005,                   0,              0.0399,           0.0065312,           0.0065312
                   2,            0.053886,             0.12213,                   0,                   0,                   0,                   0,                   0,                   0,            0.089051,                   0,           0.0096361,           0.0096006,           0.0096006
                   3,            0.052615,             0.12295,                   0,                   0,                   0,                   0,                   0,                   0,            0.091364,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.051475,             0.12154,                   0,                   0,                   0,                   0,                   0,                   0,            0.093789,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.05038,             0.12002,                   0,                   0,                   0,                   0,                   0,                   0,            0.093737,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.050036,             0.11874,                   0,                   0,                   0,                   0,                   0,                   0,            0.091424,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.049523,              0.1177,                   0,                   0,                   0,                   0,                   0,                   0,            0.095511,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049221,             0.11629,                   0,                   0,                   0,                   0,                   0,                   0,            0.093137,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048952,             0.11607,                   0,                   0,                   0,                   0,                   0,                   0,            0.095397,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.048628,             0.11552,                   0,                   0,                   0,                   0,                   0,                   0,            0.095829,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.048593,             0.11496,                   0,                   0,                   0,                   0,                   0,                   0,            0.098908,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.048179,             0.11569,                   0,                   0,                   0,                   0,                   0,                   0,            0.098026,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.048113,             0.11447,                   0,                   0,                   0,                   0,                   0,                   0,             0.09951,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.047992,               0.114,                   0,                   0,                   0,                   0,                   0,                   0,            0.098967,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.047676,             0.11279,                   0,                   0,                   0,                   0,                   0,                   0,            0.099488,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.047624,             0.11299,                   0,                   0,                   0,                   0,                   0,                   0,            0.099856,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.047388,             0.11142,                   0,                   0,                   0,                   0,                   0,                   0,             0.10323,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.047549,             0.11204,                   0,                   0,                   0,                   0,                   0,                   0,              0.1016,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.047101,             0.11115,                   0,                   0,                   0,                   0,                   0,                   0,             0.10114,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.047126,             0.11113,                   0,                   0,                   0,                   0,                   0,                   0,             0.10255,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.046997,             0.11095,                   0,                   0,                   0,                   0,                   0,                   0,             0.10156,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.046908,             0.11041,                   0,                   0,                   0,                   0,                   0,                   0,             0.10369,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.046775,             0.11034,                   0,                   0,                   0,                   0,                   0,                   0,             0.10258,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.046734,             0.10978,                   0,                   0,                   0,                   0,                   0,                   0,             0.10404,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.046564,             0.10853,                   0,                   0,                   0,                   0,                   0,                   0,             0.10409,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.046525,             0.10873,                   0,                   0,                   0,                   0,                   0,                   0,             0.10515,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.046299,             0.10816,                   0,                   0,                   0,                   0,                   0,                   0,             0.10563,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.04621,             0.10855,                   0,                   0,                   0,                   0,                   0,                   0,             0.10537,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.046202,             0.10799,                   0,                   0,                   0,                   0,                   0,                   0,              0.1052,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.04626,             0.10845,                   0,                   0,                   0,                   0,                   0,                   0,             0.10592,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.046093,              0.1077,                   0,                   0,                   0,                   0,                   0,                   0,             0.10688,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.045984,             0.10834,                   0,                   0,                   0,                   0,                   0,                   0,             0.10728,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.045742,             0.10709,                   0,                   0,                   0,                   0,                   0,                   0,             0.10733,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.045692,             0.10696,                   0,                   0,                   0,                   0,                   0,                   0,             0.10772,                   0,            0.003466,            0.003466,            0.003466
                  35,              0.0453,             0.10513,                   0,                   0,                   0,                   0,                   0,                   0,             0.10782,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.045585,             0.10624,                   0,                   0,                   0,                   0,                   0,                   0,             0.10867,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.045224,             0.10542,                   0,                   0,                   0,                   0,                   0,                   0,             0.10882,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.045355,             0.10503,                   0,                   0,                   0,                   0,                   0,                   0,             0.10917,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.045192,             0.10466,                   0,                   0,                   0,                   0,                   0,                   0,             0.10922,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.045232,             0.10592,                   0,                   0,                   0,                   0,                   0,                   0,             0.10992,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.044847,             0.10426,                   0,                   0,                   0,                   0,                   0,                   0,             0.10994,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.044827,             0.10349,                   0,                   0,                   0,                   0,                   0,                   0,             0.11019,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.044767,             0.10233,                   0,                   0,                   0,                   0,                   0,                   0,             0.11038,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.044651,             0.10174,                   0,                   0,                   0,                   0,                   0,                   0,             0.11047,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.044597,             0.10264,                   0,                   0,                   0,                   0,                   0,                   0,             0.11063,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.044403,             0.10162,                   0,                   0,                   0,                   0,                   0,                   0,             0.11101,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.044404,             0.10134,                   0,                   0,                   0,                   0,                   0,                   0,             0.11135,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.044273,             0.10091,                   0,                   0,                   0,                   0,                   0,                   0,             0.11146,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.044133,             0.10103,                   0,                   0,                   0,                   0,                   0,                   0,             0.11158,                   0,            0.000496,            0.000496,            0.000496
